schema_version,source_id,parent_source_id,character_state,view,source_type,source_url,storage_key,relative_path,availability,sha256,rights_status,allowed_use,decision,related_note,notes
2,FV-HON-REF-001,,normal,multi,public-saturn-model,https://models.spriters-resource.com/saturn/fightingvipers/,web,,missing,,site-page-only,none,unavailable,Reference/ResearchNotes/2026-05-10-honey-frame-screenshot-assets.md,2026-09-09核验页面为0 assets且无Honey模型
2,FV-HON-REF-002,,normal,multi,public-saturn-texture,https://textures.spriters-resource.com/saturn/fightingvipers/,web,,missing,,site-page-only,none,unavailable,Reference/ResearchNotes/2026-05-10-honey-frame-screenshot-assets.md,2026-09-09核验页面为0 assets且无Honey贴图
2,FV-HON-REF-003,,normal,multi,model2-capture,,local-data,Captures/Honey/,missing,,restricted-local,research-reference-only,missing,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md,历史本机素材当前不存在
2,FV-HON-REF-004,,normal,texture-set,model2-texture-dump,,local-data,Raw/Model2/Honey/Honey_Master_TextureSet/,missing,,restricted-local,structure-and-alpha-reference-only,missing,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md,历史记录为Main39加P2变体4但当前不可验证
2,FV-HON-REF-005,,normal,multi,video-frame,,local-data,Captures/Honey/FrameSamplesRaw/,missing,,restricted-local,research-reference-only,missing,Reference/ResearchNotes/2026-05-10-honey-frame-screenshot-assets.md,历史抽帧当前不存在
2,FV-HON-REF-006,,normal,front,external-image,,local-data,Raw/Honey/ExternalFrontReference/,missing,,unknown,experiment-only,rejected-for-production,Reference/ResearchNotes/2026-04-06-meshy-single-front-reference-observation.md,原始URL和本地归档均缺失
2,FV-HON-REF-007,,normal-p1,multi,model2-video-self-recorded,,vf-assets-input,*.mp4,external,,self-recorded-local,research-reference-only,adopted,Docs/MAC_BLENDER_HONEY_AUTOMATION_TEST.md,5段1080p自录视频共约116秒;外部源由用户保留;逐文件SHA见honey-intake-2026-09-09.csv
2,FV-HON-REF-008,,normal-p1,multi,model2-still-self-recorded,,vf-assets-input,*.png,external,,self-recorded-local,research-reference-only,adopted,Docs/MAC_BLENDER_HONEY_AUTOMATION_TEST.md,33张自录游戏截图或裁剪图;工作区副本已清理;逐文件SHA见honey-intake-2026-09-09.csv
2,FV-HON-REF-009,,normal-p1,front,community-render,,vf-assets-input,honey-candy-fightingvipers-render.gif,external,,source-unverified-local,research-reference-only,supporting-only,Docs/MAC_BLENDER_HONEY_AUTOMATION_TEST.md,工作区副本已清理;作者和源URL未知
2,FV-HON-REF-010,,normal-p1,multi,ai-generated-derivatives,,vf-assets-input,,external,,ai-generated-local,experiment-only,rejected-for-evidence,Docs/MAC_BLENDER_HONEY_AUTOMATION_TEST.md,18张Gemini或Kling派生图;工作区不保留;不得用于事实裁决;索引见honey-intake-2026-09-09.csv
