schema_version,tool_path,profiles,platform,status,archive_only,destructive,network_access,reproducibility,dependencies,input,output,side_effect,validation,alternative,evidence_note
2,Tools/Windows/Run-OpenKeeper-DK2.ps1,windows-extraction,windows,reference,true,false,true,evidence-only,PowerShell;Git;JDK25+;legal DK2 install,explicit DK2_PATH and LocalData OpenKeeper checkout,OpenKeeper runtime,may clone into LocalData; write properties; download dependencies; launch app,verify Java and required DK2 file then inspect app,manual pinned OpenKeeper setup,Reference/ResearchNotes/2026-05-10-honey-frame-screenshot-assets.md
2,Tools/Extraction/Model2/BuildHoneyFalseColorUvDebugSet.cmd,windows-extraction,windows,reference,true,false,false,evidence-only,cmd;PowerShell 7;paired PS1,same as paired PS1,same as paired PS1,delegates all writes to paired PS1,verify paired process exit and outputs,call PS1 directly,Reference/ResearchNotes/2026-04-04-meshy-honey-unity-route.md
2,Tools/Extraction/Model2/BuildHoneyFalseColorUvDebugSet.ps1,windows-extraction,windows,reference,true,true,false,evidence-only,PowerShell;System.Drawing;canonical manifest,LocalData texture manifest and PNG set,LocalData false-color PNG CSV and sheet,recreates output directory,verify counts CSV and contact sheet,use Blender or Unity ID materials,Reference/ResearchNotes/2026-04-03-model2-honey-model-extraction-routes.md
2,Tools/Extraction/Model2/CropHoneyFrameSamples.ps1,windows-extraction,windows,rejected,true,true,false,evidence-only,PowerShell;System.Drawing,LocalData raw frames and crop config,LocalData cropped PNG and CSV,writes outputs; rewrites config only with explicit -WriteConfig,manual review for cropping UI opponents and limbs,manual frame selection,Reference/ResearchNotes/2026-05-10-honey-frame-screenshot-assets.md
2,Tools/Extraction/Model2/ExportHoneyVideoFrameSamples.ps1,windows-extraction,windows,stable,false,true,false,verified-historical,PowerShell;FFmpeg,MP4 directory and interval,PNG frames and CSV,deletes prior frame PNG in each target folder,verify FFmpeg exit frame count and manifest,cross-platform direct FFmpeg,Reference/ResearchNotes/2026-04-03-model2-honey-model-extraction-routes.md
2,Tools/Extraction/Model2/HoneyVideoFrameCropConfig.json,windows-extraction,windows,reference,true,false,false,evidence-only,CropHoneyFrameSamples.ps1,historical video IDs,crop parameters,may be rewritten by crop script,match each ID and manually validate crop,use explicit per-image selection,Reference/ResearchNotes/2026-05-10-honey-frame-screenshot-assets.md
2,Tools/Extraction/Model2/MatchNinjaRipperFrameToHoneyTextureSet.ps1,windows-extraction,windows,reference,true,false,false,evidence-only,PowerShell;System.Drawing;Ninja Ripper v4,RIP DDS and LocalData canonical PNG,LocalData candidate CSV,writes to explicit LocalData output directory,manual correlation and geometry review,Noesis or Blender manual comparison,Reference/ResearchNotes/2026-04-03-model2-honey-model-extraction-routes.md
2,Tools/Extraction/Model2/MergeNinjaRipperMeshesByTexture.ps1,windows-extraction,windows,reference,true,true,false,evidence-only,PowerShell;Ninja Ripper v4,RIP meshes and DDS name,LocalData OBJ and MTL,creates or overwrites explicit LocalData export,open OBJ and compare transform options,Noesis importer or RenderDoc,Reference/ResearchNotes/2026-04-03-model2-honey-model-extraction-routes.md
2,Tools/Extraction/Model2/SendDumpTextureCache.cmd,windows-extraction,windows,rejected,true,false,false,evidence-only,cmd;PowerShell 7;paired PS1,running emulator,none,sends window command,check TEXCACHE new files not only exit code,manual Game menu dump,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md
2,Tools/Extraction/Model2/SendDumpTextureCache.ps1,windows-extraction,windows,rejected,true,false,false,evidence-only,PowerShell;user32;running emulator,emulator window,none,sends WM_COMMAND 40025,failed because no reliable PNG side effect,manual Game menu dump,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md
2,Tools/Extraction/Model2/SplitHoneyTurnaroundSheet.ps1,windows-extraction,windows,experimental,false,true,false,partial,PowerShell;System.Drawing,LocalData turnaround sheet,LocalData front side back PNG and CSV,creates or overwrites outputs,manually confirm three spans order and crop,manual crop with explicit coordinates,Reference/ResearchNotes/2026-04-03-model2-honey-model-extraction-routes.md
2,Tools/Extraction/Model2/WatchTexCacheAndDiff.cmd,windows-extraction,windows,stable,false,false,false,verified-historical,cmd;PowerShell 7;paired PS1,same as paired PS1,same as paired PS1,delegates all writes to paired PS1,verify batch CSV and sheets,call PS1 directly,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md
2,Tools/Extraction/Model2/WatchTexCacheAndDiff.ps1,windows-extraction,windows,stable,false,true,false,verified-historical,PowerShell;System.Drawing;canonical manifest,TEXCACHE PNG and canonical manifest,batch RawDump CSV and sheets,moves TEXCACHE PNG;removes old sheets;polls continuously,verify unlock hash count and generated files,manual isolated dump and offline compare,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md
2,Tools/Extraction/Model2/Experimental/fvipers.lua,windows-extraction,windows,experimental,false,true,false,partial,Model2 emulator Lua loader,emulator Init call,probe text,overwrites probe file,verify exact probe content,use emulator official minimal sample,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md
2,Tools/Extraction/Model2/Experimental/fvipers.lua.disabled,windows-extraction,windows,rejected,true,false,false,evidence-only,Model2 emulator Lua memory API,texture RAM,two binary dumps,large repeated memory reads;may freeze emulator,do not rerun,manual texture cache dump,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md
2,Tools/Extraction/Model2/Experimental/fvipers_script_probe.txt,windows-extraction,any,reference,true,false,false,evidence-only,none,historical run,probe evidence,none,content only and environment unrecorded,new timestamped run manifest,Reference/ResearchNotes/2026-04-02-model2-honey-texture-pipeline-progress.md
2,Tools/Generation/Hunyuan3D/GenerateHoneyMvGlb.ps1,windows-extraction,windows,experimental,false,false,true,partial-historical,PowerShell;Python;CUDA;Hunyuan vendor,LocalData multi-view images,LocalData GLB views and manifest,creates outputs;runs GPU inference;may download models,inspect exit files topology and fixed views,Blender manual or semi-manual modeling,Reference/ResearchNotes/2026-04-05-hunyuan3d-2mv-four-view-two-view-failure.md
2,Tools/Generation/Hunyuan3D/GenerateHoneyMvGlb.py,windows-extraction,windows/linux-nvidia,experimental,false,true,true,partial-historical,Python;torch;Pillow;trimesh;hy3dgen;CUDA,LocalData multi-view images,LocalData preprocessed PNG GLB and JSON manifest,creates LocalData cache; may download weights; overwrites generated outputs; GPU inference,verify manifest geometry stats and human quality gate,Blender manual or semi-manual modeling,Reference/ResearchNotes/2026-04-05-hunyuan3d-2mv-four-view-two-view-failure.md
2,Tools/Environment/check_environment.py,archive,macos/windows/linux,stable,false,false,false,verified,Python 3.11+ standard library,toolchain TOML and repository manifests,console health report,read-only,verify exit code plus required and optional results,manual version and path checks,Docs/Development/ENVIRONMENT.md
